Внешний код,Название,Активность,Символьный код,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Тип,Серия,Партномер,Номинальное входное напряжение_В,Выходное напряжение_В,Тип корпуса,Размеры корпуса_мм_x,Размеры корпуса_мм_y,Размеры корпуса_мм_z,Температурный диапазон_С°,Мощность_Вт,Максимальный проходной ток_А,Дополнительные фото,Datasheet,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
proizvodstvo-preobrazovatelej-napryazheniya_8,Модульный преобразователь DC/DC Иртыш 36 В / 600 Вт ET-F300C-36VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-36-v-600-vt-et-f300c-36vp600r23,900,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300C-36VP600R23,"""300"" (180..375)",36,full brick,117,"55,9","12,7","""C""  (-20..100)",600,"16,7",,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####,Модульный преобразователь DC/DC Иртыш 36 В / 600 Вт ET-F300C-36VP600R23,Модульный преобразователь DC/DC Иртыш 36 В / 600 Вт ET-F300C-36VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_9,Модульный преобразователь DC/DC Иртыш 48 В / 600 Вт ET-F300C-48VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-48-v-600-vt-et-f300c-48vp600r23,1000,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300C-48VP600R23,"""300"" (180..375)",48,full brick,117,"55,9","12,7","""C""  (-20..100)",600,"12,5",,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####,Модульный преобразователь DC/DC Иртыш 48 В / 600 Вт ET-F300C-48VP600R23,Модульный преобразователь DC/DC Иртыш 48 В / 600 Вт ET-F300C-48VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_10,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F300H-3V3P264R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-264-vt-et-f300h-3v3p264r23,1100,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300H-3V3P264R23,"""300"" (180..375)","3,3",full brick,117,"55,9","12,7","""H""  (-40..100)",264,80,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_382,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F300H-3V3P264R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F300H-3V3P264R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_11,Модульный преобразователь DC/DC Иртыш 5 В / 400 Вт ET-F300H-05VP400R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-5-v-400-vt-et-f300h-05vp400r23,1200,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300H-05VP400R23,"""300"" (180..375)",5,full brick,117,"55,9","12,7","""H""  (-40..100)",400,80,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_383,Модульный преобразователь DC/DC Иртыш 5 В / 400 Вт ET-F300H-05VP400R23,Модульный преобразователь DC/DC Иртыш 5 В / 400 Вт ET-F300H-05VP400R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_12,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F300H-08VP400R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-8-v-400-vt-et-f300h-08vp400r23,1300,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300H-08VP400R23,"""300"" (180..375)",8,full brick,117,"55,9","12,7","""H""  (-40..100)",400,50,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_384,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F300H-08VP400R23,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F300H-08VP400R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_13,Модульный преобразователь DC/DC Иртыш 12 В / 600 Вт ET-F300H-12VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-12-v-600-vt-et-f300h-12vp600r23,1400,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300H-12VP600R23,"""300"" (180..375)",12,full brick,117,"55,9","12,7","""H""  (-40..100)",600,50,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_385,Модульный преобразователь DC/DC Иртыш 12 В / 600 Вт ET-F300H-12VP600R23,Модульный преобразователь DC/DC Иртыш 12 В / 600 Вт ET-F300H-12VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_14,Модульный преобразователь DC/DC Иртыш 15 В / 600 Вт ET-F300H-15VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-15-v-600-vt-et-f300h-15vp600r23,1500,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300H-15VP600R23,"""300"" (180..375)",15,full brick,117,"55,9","12,7","""H""  (-40..100)",600,40,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_386,Модульный преобразователь DC/DC Иртыш 15 В / 600 Вт ET-F300H-15VP600R23,Модульный преобразователь DC/DC Иртыш 15 В / 600 Вт ET-F300H-15VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_15,Модульный преобразователь DC/DC Иртыш 24 В / 600 Вт ET-F300H-24VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-24-v-600-vt-et-f300h-24vp600r23,1600,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300H-24VP600R23,"""300"" (180..375)",24,full brick,117,"55,9","12,7","""H""  (-40..100)",600,25,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_387,Модульный преобразователь DC/DC Иртыш 24 В / 600 Вт ET-F300H-24VP600R23,Модульный преобразователь DC/DC Иртыш 24 В / 600 Вт ET-F300H-24VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_16,Модульный преобразователь DC/DC Иртыш 28 В / 600 Вт ET-F300H-28VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-28-v-600-vt-et-f300h-28vp600r23,1700,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300H-28VP600R23,"""300"" (180..375)",28,full brick,117,"55,9","12,7","""H""  (-40..100)",600,"21,5",,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_388,Модульный преобразователь DC/DC Иртыш 28 В / 600 Вт ET-F300H-28VP600R23,Модульный преобразователь DC/DC Иртыш 28 В / 600 Вт ET-F300H-28VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_17,Модульный преобразователь DC/DC Иртыш 36 В / 600 Вт ET-F300H-36VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-36-v-600-vt-et-f300h-36vp600r23,1800,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300H-36VP600R23,"""300"" (180..375)",36,full brick,117,"55,9","12,7","""H""  (-40..100)",600,"16,7",,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####proizvodstvo-preobrazovatelej-napryazheniya_389,Модульный преобразователь DC/DC Иртыш 36 В / 600 Вт ET-F300H-36VP600R23,Модульный преобразователь DC/DC Иртыш 36 В / 600 Вт ET-F300H-36VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
