Внешний код,Название,Активность,Символьный код,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Тип,Серия,Партномер,Номинальное входное напряжение_В,Выходное напряжение_В,Тип корпуса,Размеры корпуса_мм_x,Размеры корпуса_мм_y,Размеры корпуса_мм_z,Температурный диапазон_С°,Мощность_Вт,Максимальный проходной ток_А,Дополнительные фото,Datasheet,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
proizvodstvo-preobrazovatelej-napryazheniya_162,Модульный преобразователь DC/DC Иртыш 48 В / 250 Вт ET-Q375M-48VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-48-v-250-vt-et-q375m-48vp150r23,16300,,html,ET-Q.jpg,,html,ET-Q.jpg,ЭКБ ТЕСТ,DC/DC,ET-Q375,ET-Q375M-48VP150R23,"""375"" (250..425)",48,1/4 brick,"57,9","36,8","12,7","""M""  (-55..100)",250,"3,13",,ET-Q375.pdf,proizvodstvo-preobrazovatelej-napryazheniya_321####,Модульный преобразователь DC/DC Иртыш 48 В / 250 Вт ET-Q375M-48VP150R23,Модульный преобразователь DC/DC Иртыш 48 В / 250 Вт ET-Q375M-48VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_163,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F24C-3V3P264R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-264-vt-et-f24c-3v3p264r23,16400,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R30,"""24"" (18..36)","3,3",full brick,117,"55,9","12,7","""C""  (-20..100)",264,80,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F24C-3V3P264R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F24C-3V3P264R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_164,Модульный преобразователь DC/DC Иртыш 5 В / 300 Вт ET-F24C-05VP300R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-5-v-300-vt-et-f24c-05vp300r23,16500,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R23,"""24"" (18..36)",5,full brick,117,"55,9","12,7","""C""  (-20..100)",300,60,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 5 В / 300 Вт ET-F24C-05VP300R23,Модульный преобразователь DC/DC Иртыш 5 В / 300 Вт ET-F24C-05VP300R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_165,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F24C-08VP400R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-8-v-400-vt-et-f24c-08vp400r23,16600,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R24,"""24"" (18..36)",8,full brick,117,"55,9","12,7","""C""  (-20..100)",400,50,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F24C-08VP400R23,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F24C-08VP400R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_166,Модульный преобразователь DC/DC Иртыш 12 В / 500 Вт ET-F24C-12VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-12-v-500-vt-et-f24c-12vp500r23,16700,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R25,"""24"" (18..36)",12,full brick,117,"55,9","12,7","""C""  (-20..100)",500,50,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 12 В / 500 Вт ET-F24C-12VP500R23,Модульный преобразователь DC/DC Иртыш 12 В / 500 Вт ET-F24C-12VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_167,Модульный преобразователь DC/DC Иртыш 15 В / 500 Вт ET-F24C-15VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-15-v-500-vt-et-f24c-15vp500r23,16800,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R26,"""24"" (18..36)",15,full brick,117,"55,9","12,7","""C""  (-20..100)",500,40,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 15 В / 500 Вт ET-F24C-15VP500R23,Модульный преобразователь DC/DC Иртыш 15 В / 500 Вт ET-F24C-15VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_168,Модульный преобразователь DC/DC Иртыш 24 В / 500 Вт ET-F24C-24VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-24-v-500-vt-et-f24c-24vp500r23,16900,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R27,"""24"" (18..36)",24,full brick,117,"55,9","12,7","""C""  (-20..100)",500,25,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 24 В / 500 Вт ET-F24C-24VP500R23,Модульный преобразователь DC/DC Иртыш 24 В / 500 Вт ET-F24C-24VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_169,Модульный преобразователь DC/DC Иртыш 28 В / 500 Вт ET-F24C-28VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-28-v-500-vt-et-f24c-28vp500r23,17000,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R28,"""24"" (18..36)",28,full brick,117,"55,9","12,7","""C""  (-20..100)",500,"21,5",,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 28 В / 500 Вт ET-F24C-28VP500R23,Модульный преобразователь DC/DC Иртыш 28 В / 500 Вт ET-F24C-28VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_170,Модульный преобразователь DC/DC Иртыш 36 В / 500 Вт ET-F24C-36VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-36-v-500-vt-et-f24c-36vp500r23,17100,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R29,"""24"" (18..36)",36,full brick,117,"55,9","12,7","""C""  (-20..100)",500,"16,7",,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 36 В / 500 Вт ET-F24C-36VP500R23,Модульный преобразователь DC/DC Иртыш 36 В / 500 Вт ET-F24C-36VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_171,Модульный преобразователь DC/DC Иртыш 48 В / 500 Вт ET-F24C-48VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-48-v-500-vt-et-f24c-48vp500r23,17200,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R31,"""24"" (18..36)",48,full brick,117,"55,9","12,7","""C""  (-20..100)",500,"12,5",,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 48 В / 500 Вт ET-F24C-48VP500R23,Модульный преобразователь DC/DC Иртыш 48 В / 500 Вт ET-F24C-48VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_172,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F24H-3V3P264R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-264-vt-et-f24h-3v3p264r23,17300,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R46,"""24"" (18..36)","3,3",full brick,117,"55,9","12,7","""H""  (-40..100)",264,80,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F24H-3V3P264R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F24H-3V3P264R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_173,Модульный преобразователь DC/DC Иртыш 5 В / 300 Вт ET-F24H-05VP300R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-5-v-300-vt-et-f24h-05vp300r23,17400,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R32,"""24"" (18..36)",5,full brick,117,"55,9","12,7","""H""  (-40..100)",300,60,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 5 В / 300 Вт ET-F24H-05VP300R23,Модульный преобразователь DC/DC Иртыш 5 В / 300 Вт ET-F24H-05VP300R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_174,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F24H-08VP400R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-8-v-400-vt-et-f24h-08vp400r23,17500,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R35,"""24"" (18..36)",8,full brick,117,"55,9","12,7","""H""  (-40..100)",400,50,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F24H-08VP400R23,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F24H-08VP400R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_175,Модульный преобразователь DC/DC Иртыш 12 В / 500 Вт ET-F24H-12VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-12-v-500-vt-et-f24h-12vp500r23,17600,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R37,"""24"" (18..36)",12,full brick,117,"55,9","12,7","""H""  (-40..100)",500,50,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 12 В / 500 Вт ET-F24H-12VP500R23,Модульный преобразователь DC/DC Иртыш 12 В / 500 Вт ET-F24H-12VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_176,Модульный преобразователь DC/DC Иртыш 15 В / 500 Вт ET-F24H-15VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-15-v-500-vt-et-f24h-15vp500r23,17700,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R39,"""24"" (18..36)",15,full brick,117,"55,9","12,7","""H""  (-40..100)",500,40,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 15 В / 500 Вт ET-F24H-15VP500R23,Модульный преобразователь DC/DC Иртыш 15 В / 500 Вт ET-F24H-15VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_177,Модульный преобразователь DC/DC Иртыш 24 В / 500 Вт ET-F24H-24VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-24-v-500-vt-et-f24h-24vp500r23,17800,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R41,"""24"" (18..36)",24,full brick,117,"55,9","12,7","""H""  (-40..100)",500,25,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 24 В / 500 Вт ET-F24H-24VP500R23,Модульный преобразователь DC/DC Иртыш 24 В / 500 Вт ET-F24H-24VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_178,Модульный преобразователь DC/DC Иртыш 28 В / 500 Вт ET-F24H-28VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-28-v-500-vt-et-f24h-28vp500r23,17900,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R43,"""24"" (18..36)",28,full brick,117,"55,9","12,7","""H""  (-40..100)",500,"21,5",,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 28 В / 500 Вт ET-F24H-28VP500R23,Модульный преобразователь DC/DC Иртыш 28 В / 500 Вт ET-F24H-28VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_179,Модульный преобразователь DC/DC Иртыш 36 В / 500 Вт ET-F24H-36VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-36-v-500-vt-et-f24h-36vp500r23,18000,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R45,"""24"" (18..36)",36,full brick,117,"55,9","12,7","""H""  (-40..100)",500,"16,7",,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 36 В / 500 Вт ET-F24H-36VP500R23,Модульный преобразователь DC/DC Иртыш 36 В / 500 Вт ET-F24H-36VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_180,Модульный преобразователь DC/DC Иртыш 48 В / 500 Вт ET-F24H-48VP500R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-48-v-500-vt-et-f24h-48vp500r23,18100,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R49,"""24"" (18..36)",48,full brick,117,"55,9","12,7","""H""  (-40..100)",500,"12,5",,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 48 В / 500 Вт ET-F24H-48VP500R23,Модульный преобразователь DC/DC Иртыш 48 В / 500 Вт ET-F24H-48VP500R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_181,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F24M-3V3P264R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-264-vt-et-f24m-3v3p264r23,18200,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24M-3V3P264R23,"""24"" (18..36)","3,3",full brick,117,"55,9","12,7","""M""  (-55..100)",264,80,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####proizvodstvo-preobrazovatelej-napryazheniya_337,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F24M-3V3P264R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F24M-3V3P264R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_182,Модульный преобразователь DC/DC Иртыш 5 В / 300 Вт ET-F24M-05VP300R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-5-v-300-vt-et-f24m-05vp300r23,18300,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R50,"""24"" (18..36)",5,full brick,117,"55,9","12,7","""M""  (-55..100)",300,60,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 5 В / 300 Вт ET-F24M-05VP300R23,Модульный преобразователь DC/DC Иртыш 5 В / 300 Вт ET-F24M-05VP300R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_183,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F24M-08VP400R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-8-v-400-vt-et-f24m-08vp400r23,18400,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F24,ET-F24C-05VP300R53,"""24"" (18..36)",8,full brick,117,"55,9","12,7","""M""  (-55..100)",400,50,,ET-F24.pdf,proizvodstvo-preobrazovatelej-napryazheniya_322####,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F24M-08VP400R23,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F24M-08VP400R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
