Внешний код,Название,Символьный код,Картинка анонса,Детальная картинка,Активность,Сортировка,Описание,Дополнительные файлы/фото под основным,Фото для галереи секции,Фото для слайдера секции,Файл презентации,Выводить только на странице Продукция ЭКБ-ТЕСТ,Выводить в списке секций,Для вывода на главной,Заголовок h1,title,description
"Обязательное
mikroskhemy_section_№","Строка
Обязательное
","Строка
","Файл
","Файл
","да/нет (галочка)
Варианты значений:
Y
N
","Число
Комментарий:
Шаг 10 или 100","HTML/текст
","Файл
Множественное
","Файл
Множественное
","Файл
Множественное
","Файл
Множественное
","да/нет (галочка)
Варианты значений:
Y","да/нет (галочка)
Варианты значений:
Y","да/нет (галочка)
Варианты значений:
Y","Строка
","Строка
","Строка
"
XML_ID,NAME,CODE,PICTURE,DETAIL_PICTURE,ACTIVE,SORT,DESCRIPTION,UF_ADDITIONAL_FILES_PHOTOS,UF_SECTION_GALLERY,UF_SECTION_SLIDER,UF_FILE,SPECIAL,UF_DISPLAY,UF_MAIN,UF_H1,UF_TITLE,UF_DESCRIPTION
demo_mikroskhemy_section_1,ДЕМО секция,demo-mikroskhemy-section-1,demo_1.jpeg,demo_1.jpeg,Y,100,ДЕМО description страницы,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,,,,ДЕМО заголовок секции,ДЕМО title страницы,ДЕМО description страницы
mikroskhemy_section_1,Микросхемы ЭКБ ТЕСТ,mikroskhemy-ekb-test,ET1310PN1U.jpg,ET1310PN1U.jpg,Y,200,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на микросхемы. Разумные сроки. Индивидуальный подход.</p>,,ET1309EN3.3T.jpg####ET1309ES035.jpg####ET1309ES035.jpg####ET1309ES065.jpg####ET1645RU1U.jpg####ET1645RU3U.jpg####ET1645RU4.jpg####ET1645RU4.jpg####ET1645RU7YA.jpg####ET1663RA06V4.jpg####ET1636RR1.jpg####ET5559IN4U.jpg####ET5559IN10BU.png####ET5559IN14AU.png####ET5559IN28U.png####ET5600VG1U.png####ET2011VV034.png####ET5572IN1AU.png,,брошюра Миландр замены.pdf,,Y,Y,Микросхемы ЭКБ ТЕСТ,Микросхемы ЭКБ ТЕСТ⚡Изготовление на заказ ✔ pin-to-pin / функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на микросхемы. Разумные сроки. Индивидуальный подход.
mikroskhemy_section_2,Микросхемы Миландр,mikroskhemy-milandr,,,Y,300,,,,,,,,,,,
