Внешний код,Название,Символьный код,Картинка анонса,Детальная картинка,Активность,Сортировка,Описание,Дополнительные файлы/фото под основным,Фото для галереи секции,Фото для слайдера секции,Файл презентации,Выводить только на странице Продукция ЭКБ-ТЕСТ,Выводить в списке секций,Для вывода на главной,Заголовок h1,title,description
"Обязательное
svch-kondensatory_section_№","Строка
Обязательное
","Строка
","Файл
","Файл
","да/нет (галочка)
Варианты значений:
Y
N
","Число
Комментарий:
Шаг 10 или 100","HTML/текст
","Файл
Множественное
","Файл
Множественное
","Файл
Множественное
","Файл
Множественное
","да/нет (галочка)
Варианты значений:
Y","да/нет (галочка)
Варианты значений:
Y","да/нет (галочка)
Варианты значений:
Y","Строка
","Строка
","Строка
"
XML_ID,NAME,CODE,PICTURE,DETAIL_PICTURE,ACTIVE,SORT,DESCRIPTION,UF_ADDITIONAL_FILES_PHOTOS,UF_SECTION_GALLERY,UF_SECTION_SLIDER,UF_FILE,SPECIAL,UF_DISPLAY,UF_MAIN,UF_H1,UF_TITLE,UF_DESCRIPTION
demo_svch-kondensatory_section_1,ДЕМО секция,demo-svch-kondensatory-section-1,demo_1.jpeg,demo_1.jpeg,Y,100,ДЕМО description страницы,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,,,,ДЕМО заголовок секции,ДЕМО title страницы,ДЕМО description страницы
svch-kondensatory_section_1,СВЧ-конденсаторы ЭКБ ТЕСТ,svch-kondensatory-ekb-test,,,Y,200,"<p>ООО «ЭКБ ТЕСТ» производит конденсаторы ARC, которые являются прямой заменой конденсаторов ATC (American Technical Ceramics). Производство идет из тех же материалов, что использует ATC.</p>
<p>Конденсаторы ARC идентичны конденсаторам ATC по корпусам и параметрам, при этом имеют ряд существенных преимуществ:</p>
<ul>
<li>цены на продукцию ARC в сравнении с аналогичной продукцией ATC могут быть до 20% ниже</li>
<li>отсутствует минимальное количество для заказа (MOQ)</li>
<li>доступны измерительные щупы</li>
<li>сроки поставки ниже в 2-3 раза (от 6 недель)</li>
<li>продукция не является санкционной</li>
<li>доступны наборы разработчика (ряд емкостей по 10 шт. каждого типономинала)</li>
</ul>",Керамический чип-конденсатор серии ARC20C спецификация.pdf,СВЧ-конденсаторы-1.png####СВЧ-конденсаторы-2.png,,Листовка конденсаторы.pdf,Y,,Y,,,
svch-kondensatory_section_2,СВЧ-конденсаторы ATC (American Technical Ceramics),svch-kondensatory-atc-american-technical-ceramics,,,Y,300,,,,,,,,,,,
svch-kondensatory_section_3,СВЧ-конденсаторы PPI,svch-kondensatory-ppi,,,Y,400,,,,,,,,,,,
svch-kondensatory_section_4,СВЧ-конденсаторы DLC,svch-kondensatory-dlc,,,Y,500,,,,,,,,,,,
svch-kondensatory_section_5,СВЧ-конденсаторы Гериконд,svch-kondensatory-gerikond,,,Y,600,,,,,,,,,,,
svch-kondensatory_section_6,СВЧ-конденсаторы ARC70A,svch-kondensatory-arc70a,,,Y,700,,,,,,,Y,,СВЧ-конденсаторы ARC70A,СВЧ-конденсаторы ARC70A⚡Изготовление на заказ ✔ pin-to-pin / функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на СВЧ-конденсаторы ARC70A. Разумные сроки. Индивидуальный подход.
