Внешний код,Название,Символьный код,Картинка анонса,Детальная картинка,Активность,Сортировка,Описание,Дополнительные файлы/фото под основным,Фото для галереи секции,Фото для слайдера секции,Файл презентации,Выводить только на странице Продукция ЭКБ-ТЕСТ,Выводить в списке секций,Для вывода на главной,Заголовок h1,title,description
"Обязательное
proizvodstvo-preobrazovatelej-napryazheniya_section_№","Строка
Обязательное
","Строка
","Файл
","Файл
","да/нет (галочка)
Варианты значений:
Y
N
","Число
Комментарий:
Шаг 10 или 100","HTML/текст
","Файл
Множественное
","Файл
Множественное
","Файл
Множественное
","Файл
Множественное
","да/нет (галочка)
Варианты значений:
Y","да/нет (галочка)
Варианты значений:
Y","да/нет (галочка)
Варианты значений:
Y","Строка
","Строка
[Название секции]⚡DC/DC ✔ AC/DC ✔ Фильтры ✔ Изготовление под заказ ✔ pin-to-pin / функциональные замены⚡Испытательная лаборатория⚡Производство преобразователей напряжения ЭКБ ТЕСТ","Строка
"
XML_ID,NAME,CODE,PICTURE,DETAIL_PICTURE,ACTIVE,SORT,DESCRIPTION,UF_ADDITIONAL_FILES_PHOTOS,UF_SECTION_GALLERY,UF_SECTION_SLIDER,UF_FILE,SPECIAL,UF_DISPLAY,UF_MAIN,UF_H1,UF_TITLE,UF_DESCRIPTION
demo_proizvodstvo-preobrazovatelej-napryazheniya_section_1,ДЕМО секция,demo-proizvodstvo-preobrazovatelej-napryazheniya-section-1,demo_1.jpeg,demo_1.jpeg,Y,100,ДЕМО description страницы,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,,,,ДЕМО заголовок секции,ДЕМО title страницы,ДЕМО description страницы
proizvodstvo-preobrazovatelej-napryazheniya_section_1,Производство преобразователей напряжения,,power-supply.png,power-supply.png,Y,200,"<p>На сегодняшний день производимая «ЭКБ ТЕСТ» продукция включает в себя несколько модельных линеек:</p>
<p><b>DC/DC</b></p>
<ul>
<li>Серия «ИРТЫШ»®-DC/DC модульные преобразователи – полная «PIN-TO-PIN» совместимость с продукцией VICOR</li>
<li>Серия «АМУР»®-ЭТАНД (ЭТАД) – DC/DC модульные преобразователи с трансформаторной обратной связью</li>
<li>Серия «ЕНИСЕЙ»®-ЭТЕНД (ЭТЕД) – DC/DC модульные многоканальные преобразователи</li>
<li>Серия «РЕЙН»®-ЗТРНД – DC/DC преобразователи в металлических корпусах с выходной мощностью до 120 ВТ</li>
<li>Серия «ОБЬ»®-ЭТОЗД – DC/DC модули, выдерживающие миллисекундные выбросы перенапряжений входной сети (стандарт RIA12)</li>
</ul>
<p><b>AC/DC</b></p>
<ul>
<li>Серия «КАМА»®-ЭТКАВ (ЭТЗШ) – модули с альтернативными входными сетями двойного назначения (АС или DC, или АС И DC)</li>
<li>Серия «ВОЛГА»®-ЗТВА – AC/DC преобразователи с повышенной энергетической плотностью</li>
<li>Серия «МОСКВА»®-ЭТМНА – AC/DC преобразователи с повышенной энергетической плотностью для работы от трехфазной сети</li>
</ul>
<p><b>Фильтры</b></p>
<ul>
<li>Серия «НЕВА»®-ЭТНВАФ – фильтры для сетей переменного тока</li>
<li>Серия «УРАЛ»®-ЭТУДФ – фильтры для сетей постоянного тока</li>
</ul>","vniirt-pismo-po-rezultatam-testov.pdf####Декларация о соответствии ЕНИСЕЙ, АМУР, КАМА, ИРТЫШ.jpg####Декларация о соответствии ВОЛГА, МОСКВА, ОНЕГА.jpg####CCF18112022-Сертификат соответствия Енисей, АмурКама, Иртыш.jpg####CCF18112022-1-Сертификат соответствия Волга, Москва, Онега.jpg",Источники-питания-1.jpg####Источники-питания-2.jpg####Источники-питания-3.jpg####Источники-питания-4.jpg####Источники-питания-5.jpg####Источники-питания-6.jpg####Источники-питания-7.jpg####Источники-питания-8.jpg####Источники-питания-9.jpg####Источники-питания-10.jpg####Источники-питания-11.jpg####Источники-питания-12.jpg####Источники-питания-13.jpg####Источники-питания-14.jpg####Источники-питания-15.jpg####Источники-питания-16.jpg####Источники-питания-17.jpg####Источники-питания-18.jpg####Источники-питания-19.jpg####Источники-питания-20.jpg,,listovka-istochniki-pitaniya.pdf,Y,,Y,,,
proizvodstvo-preobrazovatelej-napryazheniya_section_2,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,,,Y,300,,,,,,,Y,,Серия «ИРТЫШ»®,Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.
proizvodstvo-preobrazovatelej-napryazheniya_section_3,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,,,Y,400,,,,,,,,,,,
